Advance_Purchase,Nightly_Rate,Distribution_Channel,Purchased_Rate_Code,Temperature_Max,Temperature_Min,Precipitation,Snowfall,Wind_Speed
197,112.71,CRO/Hotel,Rate 8,19,14.53,46.93,0,32.06
239,425.72,WEB,Rate 2,18.07,18.05,9.06,0,9.35
143,492.98,GDS,Rate 8,18.03,-11.08,31.14,0,42.71
96,286.56,GDS,Rate 1,20.17,12.22,11.13,0,12.88
200,127.26,GDS,Rate 1,23.82,20.47,15.36,0,94.76
123,172.54,GDS,Rate 2,30.25,-6.63,27.32,0,47.52
186,58.28,WEB,Rate 8,3.49,24.03,20.86,0,31.73
325,461.43,CRO/Hotel,Rate 2,31.25,14.19,8.01,0,76.63
348,102.99,CRO/Hotel,Rate 2,14.91,32.61,8.55,0,49.79
258,309.43,GDS,Rate 1,-6.15,-12.88,20.91,0,31
147,173.32,WEB,Rate 8,-7.07,-1.73,37.86,0,81.2
251,299.38,WEB,Rate 1,6.71,15.08,44.9,0,86.72
345,343.14,GDS,Rate 8,29.24,-0.17,4.21,0,67.3
146,423.38,GDS,Rate 1,25.38,20.72,19.66,0,4.7
147,142.89,GDS,Rate 1,29.43,22.95,5.01,0,56.63
351,54.95,CRO/Hotel,Rate 8,15.86,-9.87,0.83,0,76.33
198,111.6,GDS,Rate 8,12.01,10.69,33.09,0,13.65
307,455.01,CRO/Hotel,Rate 1,-2.63,10.44,30.12,0,22.87
127,443.25,WEB,Rate 8,6.41,3.46,8.15,0,88.25
38,318.84,WEB,Rate 1,11.7,31.65,11.69,0,2.01
337,320.23,CRO/Hotel,Rate 8,-5.57,26.38,1.19,0,75.27
359,349.27,CRO/Hotel,Rate 1,1.03,19.86,41.75,3.19,47.38
128,128.92,CRO/Hotel,Rate 1,19.91,20.72,48.73,0,44.68
266,461.49,CRO/Hotel,Rate 1,26.78,8.09,6.77,0,0.71
150,238.45,GDS,Rate 2,39.92,31.05,11.57,0,81.94
297,222.41,WEB,Rate 8,36.66,19.73,43.42,0,35.98
98,283.51,GDS,Rate 1,22.13,21.45,46.32,0,54.08
262,71.13,CRO/Hotel,Rate 2,11.06,28.08,20.98,0,67.73
251,124.83,GDS,Rate 1,21.81,-1.3,2.53,15.39,70.26
143,382.12,GDS,Rate 2,29.28,25.35,1.97,0,95.6
345,87.26,WEB,Rate 1,-4.08,-5.24,28.7,0,53.13
111,321.42,GDS,Rate 1,10.5,2.27,19.64,0,39.97
59,160.41,WEB,Rate 2,31.99,1.78,1.43,0,95.37
1,225.18,CRO/Hotel,Rate 2,9.19,33.93,29.16,0,64.21
303,179.91,GDS,Rate 8,18.59,27.83,0.57,0,29.82
253,210.05,CRO/Hotel,Rate 8,19.39,20.06,39.37,0,12.65
139,373.57,WEB,Rate 2,-0.78,21.35,15.32,0,84.26
36,183.7,CRO/Hotel,Rate 8,8.11,13.1,2.01,0,36.22
159,304.88,CRO/Hotel,Rate 2,6.73,32.35,29.42,0,66.05
8,264.22,WEB,Rate 8,-8.69,9.81,19.88,0,47.08
232,348.65,CRO/Hotel,Rate 1,-8.79,4.03,48.69,0,19.89
98,471.57,CRO/Hotel,Rate 8,31.58,-6.85,27.21,0,60.17
146,379.66,CRO/Hotel,Rate 1,3.65,24.31,13.76,0,6.07
303,146.72,GDS,Rate 1,15.9,21.72,35.47,0,41.33
207,64.03,CRO/Hotel,Rate 8,4.94,4.22,13.57,0,54.66
130,168.02,WEB,Rate 2,37.03,-13.74,45.21,0,43.6
151,317.79,GDS,Rate 1,2.96,26.95,18.74,1,74.87
53,73.14,GDS,Rate 1,11.48,-14.43,27.49,0,82.79
119,273.36,WEB,Rate 8,33.64,20.18,2.53,10.75,77.12
160,318.58,CRO/Hotel,Rate 2,32.1,33.51,21.31,11.52,3.88
115,200.41,GDS,Rate 2,-0.69,6.88,41.62,0,19.41
74,396.91,GDS,Rate 8,30.13,-3.25,40.28,0,53.66
112,97.97,GDS,Rate 2,12.91,20.24,11.22,0,93.48
103,83.81,CRO/Hotel,Rate 8,14.15,25.86,11.3,0,83.5
339,377.68,GDS,Rate 8,-3.33,12.32,40.87,0,84.25
253,272.97,WEB,Rate 8,-5.97,33.35,46.52,0.28,30.32
226,359.78,CRO/Hotel,Rate 1,26.4,-12.42,4.77,0,42.94
111,245.67,WEB,Rate 1,14.82,10.24,22.5,0,47.07
98,160.88,WEB,Rate 1,11.84,20.92,16.87,0,15.74
152,418.6,GDS,Rate 8,26.48,28.13,43.53,0,3.11
348,409.74,GDS,Rate 1,28.28,-6.04,4.18,0,94.69
337,362.61,GDS,Rate 1,-2.05,25,10.56,0,24.07
193,172.47,WEB,Rate 1,20.51,12.64,37.62,0,23.99
309,315.6,CRO/Hotel,Rate 8,-3.23,4.83,2.56,0,8.34
162,212.44,GDS,Rate 8,27.57,-8.41,24.63,1.44,92.85
207,91.21,GDS,Rate 8,22.85,28.26,22.11,0,57.97
168,462.79,WEB,Rate 1,37.83,-7.14,16.72,10.06,66.7
160,111.57,CRO/Hotel,Rate 2,-6.55,0.49,19.73,0,91.16
67,477.61,WEB,Rate 1,-7.15,-0.5,26.5,0,34.56
288,250.7,GDS,Rate 1,4.11,28.57,8.07,0,62.15
276,133.31,WEB,Rate 8,3.09,18.64,28.6,0,3.88
303,293.86,GDS,Rate 8,2.35,24.83,40.27,0,18.68
134,442.83,CRO/Hotel,Rate 1,35.31,-2.48,38.01,0,83.12
194,379.5,WEB,Rate 1,2.48,16.24,7.69,0,76.68
127,412.95,GDS,Rate 2,3.6,13.59,7.46,0,35.06
32,346.45,GDS,Rate 2,27.97,26.64,13.41,19.25,37.68
175,361.52,GDS,Rate 8,12.49,30.3,18.05,0,53.36
21,432.14,GDS,Rate 2,28.84,-14.39,20.42,0,0.02
237,162.35,WEB,Rate 2,-6.73,18.7,33.98,12.54,24.12
157,270.24,GDS,Rate 8,14.38,-12.41,2.83,0,20.82
37,149.54,WEB,Rate 2,-8.32,12.44,1.73,16.07,25.05
229,494.45,GDS,Rate 1,-6.87,-0.62,19.6,0,80.59
364,474.83,WEB,Rate 2,35.32,0.34,34.86,0,27.97
50,67.74,WEB,Rate 8,-3.04,2.65,9.67,0,19.15
263,367.51,GDS,Rate 1,16.62,16.06,32.08,9.1,50.43
282,466.36,GDS,Rate 2,10.55,1.7,12.99,0,86.56
26,131.26,GDS,Rate 1,7.37,21.63,44.3,2.65,24.13
225,305.58,GDS,Rate 1,34.99,5.23,44.78,0,7.85
276,461.97,CRO/Hotel,Rate 2,-8.91,-11.58,14.86,0,35.64
285,65.28,GDS,Rate 2,23.19,24.19,11.5,0,74.77
96,363.84,GDS,Rate 8,38.17,-0.71,20.57,0,55.07
283,183.81,GDS,Rate 8,18.01,6.64,12.03,0,81.68
316,465.98,WEB,Rate 1,36.84,19.27,33.62,0,95.96
303,486.98,GDS,Rate 8,-7.39,1.62,41.3,0,79.27
146,474.92,WEB,Rate 1,10.94,-12.17,33.65,0,60.38
3,263.4,WEB,Rate 1,3.01,3.7,41.22,0,49.33
34,437.92,WEB,Rate 8,26.54,32.22,19.85,0,4.01
191,430.05,WEB,Rate 8,39.06,17.09,7.82,2.58,98.43
48,193.6,CRO/Hotel,Rate 8,2.83,18.57,36.9,0,38.35
16,423.01,GDS,Rate 2,22.71,16.61,18.02,2.02,15.22
171,66.65,WEB,Rate 1,-0.1,-5.05,33.56,0,66.67
219,318.32,GDS,Rate 1,18.27,5.92,13.53,0,28.43
157,153.5,WEB,Rate 1,13.2,22.55,4.06,0,58.58
45,104.26,CRO/Hotel,Rate 8,38.6,-9.93,49.63,0,58.68
5,84.63,WEB,Rate 8,20.43,-1.11,7.81,12.78,44.57
98,363.33,GDS,Rate 8,7.48,-1.18,49.42,0,83.61
232,202.94,GDS,Rate 8,-4.3,6.6,48.86,0,26.5
36,376.15,CRO/Hotel,Rate 8,-2.44,34.02,39.69,0,44.86
279,79.41,GDS,Rate 2,1.27,-11.62,32.97,0,53.77
348,191.88,GDS,Rate 8,2.55,10.94,28.89,0,66.36
301,292.77,WEB,Rate 1,32.53,-6.03,43.31,0,78.4
180,405.83,GDS,Rate 8,18.06,33.53,14.47,0,39.48
94,193.44,WEB,Rate 1,16.17,-9.33,23.38,8.55,64.6
98,331.65,CRO/Hotel,Rate 8,-4.26,5.18,30.97,0,15.06
187,448.69,GDS,Rate 8,33.01,21.89,20.56,0,93.26
115,327.14,WEB,Rate 1,26.14,20.23,21.37,0,38.31
190,154.83,GDS,Rate 1,-6.62,6.14,16.51,0,72.95
252,60.98,WEB,Rate 1,25.39,2.33,28.21,0,2.03
160,441.54,CRO/Hotel,Rate 1,17.18,4.88,42.53,0,20.52
255,59.57,WEB,Rate 2,-5.91,-1.79,10.08,0,48.71
0,329,GDS,Rate 1,0.28,-1.72,3.42,10.12,26.56
5,270,GDS,Rate 2,-3.93,-14.12,20.88,0,76.72
5,299,CRO/Hotel,Rate 8,20.75,-0.33,5.82,0,20.59
5,399,WEB,Rate 2,28.73,23.66,30.64,0,32.17
4,270,GDS,Rate 8,22.2,10.9,46.92,0,46.55
1,329,GDS,Rate 1,16.52,2.4,33.09,0,94.32
6,299,CRO/Hotel,Rate 8,-7.9,3.59,3.84,15.25,93.17
26,329,CRO/Hotel,Rate 8,38.42,-14.93,17.73,2.88,20.69
5,289,CRO/Hotel,Rate 8,29.94,-0.01,27.53,0,35.82
5,309,CRO/Hotel,Rate 8,4.64,17.32,20.16,0,14.94
4,329,CRO/Hotel,Rate 8,39,33.71,41.68,0,51
26,399,GDS,Rate 2,20.09,27.35,40.73,0,46.06
1,469,GDS,Rate 8,19.12,-13.82,30.59,0,90.08
2,299,CRO/Hotel,Rate 8,27.4,29.93,18.67,0.15,93
9,329,GDS,Rate 1,30.59,24.16,12.77,0,38.36
4,299,WEB,Rate 8,22.82,24.02,5.29,0,49.17
26,297,CRO/Hotel,Rate 1,-3.6,7.9,17.74,0,89.62
5,349,CRO/Hotel,Rate 2,6.91,4.9,20.66,0,80.67
7,329,GDS,Rate 2,36.4,0.15,33.79,4.66,0.37
4,329,WEB,Rate 8,1.23,-11.72,32.91,0,32.01
21,399,GDS,Rate 2,8.61,-3.59,3.51,0,42.18
15,579,GDS,Rate 8,11.6,-2.67,19.76,0,22.97
7,399,GDS,Rate 2,11.97,9.2,9.09,4.73,19.96
15,399,GDS,Rate 8,20.65,22.37,7.84,12.56,3.78
15,299,GDS,Rate 8,37.15,8.69,41.37,0,64.34
6,329,WEB,Rate 1,2.03,-12.11,2.1,0,26.25
28,429,WEB,Rate 1,-3.92,32.89,20.96,0,5.23
1,405,WEB,Rate 1,-0.13,32.14,8.41,0,23.1
13,299,WEB,Rate 1,34.35,24.26,43.97,0,80.19
13,359,WEB,Rate 8,22.29,34.57,27.85,0,85.15
6,405,WEB,Rate 2,4.3,12.22,11.57,0,48.31
1,469,GDS,Rate 8,30.8,33.14,25.12,0,41.61
6,329,WEB,Rate 1,33.07,-11.22,36.57,0,97.79
8,429,GDS,Rate 1,32.33,3.28,47.91,0,20.06
5,469,CRO/Hotel,Rate 2,35.95,-3.73,11.02,19.91,21.54
9,329,WEB,Rate 1,2.61,-5.21,44.31,9.6,29.19
3,369,CRO/Hotel,Rate 8,27.75,-7.96,46.72,0,17.28
30,449,GDS,Rate 8,13.03,16.12,45.82,0,37.94
6,429,CRO/Hotel,Rate 8,32.1,24.07,31.77,0,91.08
4,299,CRO/Hotel,Rate 8,26.42,13.91,31.49,16.02,61.53
11,299,GDS,Rate 8,28.82,-7.65,20.16,0,41.19
11,369,CRO/Hotel,Rate 2,22.81,25.56,37.62,0,93.44
11,449,WEB,Rate 8,-1.13,16.8,26.56,11.72,4.85
13,319,WEB,Rate 1,17.25,4.41,33.87,0,21.03
15,399,CRO/Hotel,Rate 1,39.23,18.71,21.42,0,56.59
9,299,WEB,Rate 1,36.87,-2,36.57,0,61.56
6,289,CRO/Hotel,Rate 1,-7.84,2.26,41.22,4.92,3.96
0,329,WEB,Rate 2,-1.76,30.87,7.32,18.3,40.3
2,297,CRO/Hotel,Rate 1,-3.41,-0.47,41.65,0,64.92
5,529,GDS,Rate 2,26.3,8.5,27.01,19.05,69.81
9,369,CRO/Hotel,Rate 1,30.89,29.51,42.23,0,63.81
22,349,CRO/Hotel,Rate 2,0.68,20.39,21.57,12.63,32.06
6,359,CRO/Hotel,Rate 2,15.29,-11.89,18.95,0,9.35
3,349,CRO/Hotel,Rate 2,32.04,-7.63,45.75,2.59,42.71
6,333,CRO/Hotel,Rate 1,26.64,-14.61,12.56,0,12.88
4,333,CRO/Hotel,Rate 2,17.11,16.55,42.21,0,94.76
8,315,WEB,Rate 8,19.52,7.38,24.2,12.46,47.52
4,359,CRO/Hotel,Rate 8,15.42,-8.29,25.7,0,31.73
2,469,CRO/Hotel,Rate 1,4.88,32.9,15.42,0,76.63
1,329,CRO/Hotel,Rate 8,18.25,11.48,28.65,0,49.79
9,429,CRO/Hotel,Rate 8,24.44,-2.91,16.26,0,31
1,429,CRO/Hotel,Rate 8,33.67,10.03,1.96,0,81.2
7,339,WEB,Rate 1,21.81,18.98,13.6,0,86.72
4,499,GDS,Rate 1,28.06,-11.19,0.32,0,67.3
2,399,CRO/Hotel,Rate 8,-2,-1.26,48.92,8.38,4.7
5,216,WEB,Rate 1,13.08,25.35,48.29,10.35,56.63
4,324,CRO/Hotel,Rate 2,-9.53,7.98,19.76,0,76.33
4,289.67,GDS,Rate 8,2.33,12.33,36.42,0,13.65
21,73.32,GDS,Rate 1,26.32,6.64,17.29,0,22.87
6,201.47,CRO/Hotel,Rate 1,39.59,-12.81,33.55,0,88.25
6,110.49,CRO/Hotel,Rate 8,-5.04,-6.71,40.27,0,2.01
6,78.52,CRO/Hotel,Rate 1,10.07,7.28,47.34,0,75.27
4,495.48,CRO/Hotel,Rate 8,30,-4.54,20.01,0,47.38
9,195.06,GDS,Rate 1,0.2,-12.5,39.16,0,44.68
8,414.44,WEB,Rate 2,17.75,27.18,13.3,0,0.71
38,164.59,WEB,Rate 8,26.65,34.06,49.52,4.91,81.94
2,356.68,WEB,Rate 2,20.8,24.66,1.29,0,35.98
38,392.1,WEB,Rate 8,-0.6,27.69,30.18,0,54.08
0,318.04,CRO/Hotel,Rate 1,7.77,-2.9,32.98,0,67.73
32,262.21,WEB,Rate 2,29.19,33.03,34.4,0,70.26
34,235.33,WEB,Rate 1,17.71,-5.15,6.02,0,95.6
36,206.99,CRO/Hotel,Rate 8,-9.74,32.57,46.93,1,53.13
31,468.29,CRO/Hotel,Rate 8,28.05,34.74,9.06,1,39.97
3,423.78,WEB,Rate 8,-8.23,20.59,31.14,1,95.37
34,484.26,CRO/Hotel,Rate 8,27.29,34.06,11.13,1,64.21
0,105.93,CRO/Hotel,Rate 8,0.12,13.48,15.36,1,29.82
23,378.89,CRO/Hotel,Rate 2,37.9,-2.02,27.32,1,12.65
34,472.25,CRO/Hotel,Rate 8,8.4,6.85,20.86,1,84.26
0,131.55,CRO/Hotel,Rate 1,6.35,14.68,8.01,1,36.22
37,79.92,WEB,Rate 2,-2.56,-11.35,8.55,1,66.05
2,383.5,CRO/Hotel,Rate 1,5.28,16.12,20.91,1,47.08
0,308.51,WEB,Rate 8,33.83,34.06,37.86,1,19.89
2,428.82,WEB,Rate 1,39.82,-5.49,44.9,1,60.17
1,112.9,CRO/Hotel,Rate 2,8.42,24.63,4.21,1,6.07
27,407.87,CRO/Hotel,Rate 2,12.43,30.39,19.66,1,41.33
13,140.73,WEB,Rate 2,26.1,32.19,5.01,1,54.66
3,123.65,CRO/Hotel,Rate 1,34.31,33.01,0.83,0,43.6
3,123.92,WEB,Rate 2,19.65,11.07,33.09,0,74.87
0,416.56,CRO/Hotel,Rate 1,9.58,33.87,30.12,0,82.79
58,349.34,WEB,Rate 8,10.63,22.87,8.15,0,77.12
25,285.38,CRO/Hotel,Rate 8,24.78,-6.92,43.42,2,93.35
3,211.47,CRO/Hotel,Rate 1,-9.84,8.85,46.32,3,34.46
2,444.74,CRO/Hotel,Rate 2,20.98,20.92,20.98,22,16.1
27,226.6,CRO/Hotel,Rate 1,7.77,-2.63,2.53,14,56.32
36,417.47,CRO/Hotel,Rate 1,29.71,17.03,1.97,0,94.38
27,247.61,WEB,Rate 1,-5.35,18.33,28.7,15.25,0.38
27,219.62,WEB,Rate 8,19.41,-6.87,19.64,2.88,23.81
13,258.21,WEB,Rate 1,14.05,13.25,1.43,0,93.84
2,185.62,CRO/Hotel,Rate 8,22.12,23.58,29.16,0,17.11
11,386.42,WEB,Rate 1,-6.76,9.94,0.57,0,11.32
35,276.22,WEB,Rate 8,19,-14.39,39.37,0,57.02
12,154.5,CRO/Hotel,Rate 1,18.07,-14.55,15.32,0,86.18
45,454.81,CRO/Hotel,Rate 1,18.03,2.85,2.01,0.15,47.71
32,222.75,CRO/Hotel,Rate 2,20.17,31.31,29.42,0,99.46
13,294.6,WEB,Rate 2,23.82,-3.57,19.88,0,67.92
0,457.91,WEB,Rate 1,30.25,16.72,48.69,0,7.41
8,330.91,WEB,Rate 1,3.49,-3.9,27.21,0,99.28
23,102.6,WEB,Rate 1,31.25,1.08,13.76,4.66,40.79
0,472.92,WEB,Rate 1,14.91,27.4,35.47,0,28.74
0,332.47,CRO/Hotel,Rate 2,-6.15,21.44,13.57,0,55.79
29,200.71,GDS,Rate 8,-7.07,-10.23,45.21,0,30.43
8,112.67,GDS,Rate 1,6.71,6.44,18.74,4.73,8.65
25,407.31,CRO/Hotel,Rate 2,29.24,-13.54,27.49,12.56,0.14
25,329.03,GDS,Rate 1,25.38,9.04,2.53,0,44.96
19,290.06,GDS,Rate 1,29.43,18.12,21.31,0,83.69
29,452.25,GDS,Rate 8,15.86,-9.07,41.62,0,57.23
6,404.87,CRO/Hotel,Rate 1,12.01,-0.56,40.28,0,99.92
10,118.25,CRO/Hotel,Rate 1,-2.63,4.89,11.22,0,28.68
51,190.27,GDS,Rate 8,6.41,30.98,11.3,0,28.05
11,161.82,GDS,Rate 8,11.7,34.66,40.87,0,15.97
0,384.78,GDS,Rate 8,-5.57,-12.75,46.52,0,16.41
38,65.09,WEB,Rate 8,1.03,23.05,4.77,0,28.52
41,306.45,WEB,Rate 2,19.91,3.59,22.5,0,79.28
40,393.11,WEB,Rate 2,26.78,4.62,16.87,19.91,90.58
36,444.54,CRO/Hotel,Rate 2,39.92,22.71,43.53,9.6,97.51
27,203.94,GDS,Rate 1,36.66,30.92,4.18,0,23.23
36,419.57,CRO/Hotel,Rate 8,22.13,32.55,10.56,0,88.13
20,99.78,CRO/Hotel,Rate 8,11.06,13.86,37.62,0,32.83
20,430.9,CRO/Hotel,Rate 2,21.81,2.86,2.56,16.02,11.28
27,107.37,GDS,Rate 1,29.28,24.38,24.63,0,87
7,228.78,WEB,Rate 1,-4.08,-2.45,22.11,0,63.61
19,408.78,GDS,Rate 1,10.5,13.2,16.72,11.72,16.47
0,117.46,GDS,Rate 2,31.99,2.93,19.73,0,42.98
19,153.16,CRO/Hotel,Rate 1,9.19,17.83,26.5,0,28.73
16,375.01,CRO/Hotel,Rate 1,18.59,-2.98,8.07,0,73.68
5,374.02,CRO/Hotel,Rate 1,19.39,-5.42,28.6,4.92,45.34
38,338.52,WEB,Rate 8,-0.78,30.91,40.27,18.3,98.93
43,362.28,WEB,Rate 2,8.11,-9.91,38.01,0,5.47
32,294.23,WEB,Rate 8,6.73,10.3,7.69,19.05,35.5
37,163.31,GDS,Rate 8,-8.69,-3.96,7.46,0,48.19
102,205.56,CRO/Hotel,Rate 2,-8.79,-13.05,13.41,12.63,50.31
348,131.72,GDS,Rate 8,31.58,-13.2,18.05,0,31.59
270,458.8,WEB,Rate 1,3.65,-6.24,20.42,2.59,72.92
106,312.53,CRO/Hotel,Rate 1,15.9,28.34,33.98,0,87.47
71,230.38,WEB,Rate 1,4.94,-0.88,2.83,0,93.87
188,257.9,CRO/Hotel,Rate 1,37.03,32.52,1.73,12.46,80.51
20,476.28,CRO/Hotel,Rate 2,2.96,14.08,19.6,0,85.06
102,119.01,GDS,Rate 8,11.48,6.83,34.86,0,55.05
121,313.8,GDS,Rate 8,33.64,14,9.67,0,82.59
214,277.65,WEB,Rate 1,32.1,10.83,32.08,0,30.35
330,325.15,GDS,Rate 1,-0.69,22.94,12.99,0,39.85
87,58.15,GDS,Rate 8,30.13,-0.88,44.3,0,31.69
99,442.46,GDS,Rate 2,12.91,2.65,44.78,0,46.74
359,469.45,CRO/Hotel,Rate 8,14.15,29.7,14.86,8.38,28.56
151,304.31,GDS,Rate 1,-3.33,32.32,11.5,10.35,96.16
130,363.49,WEB,Rate 1,-5.97,29.63,20.57,0,31.28
149,465.12,CRO/Hotel,Rate 2,26.4,5.97,12.03,0,9.8
308,368.26,CRO/Hotel,Rate 8,14.82,24.02,33.62,0,52.68
257,118.64,GDS,Rate 2,11.84,8.82,41.3,0,5.71
343,309.33,CRO/Hotel,Rate 2,26.48,9.88,33.65,0,11.05
293,323.02,WEB,Rate 1,28.28,-4.77,41.22,0,21.94
191,240.86,WEB,Rate 8,-2.05,14.56,19.85,0,46.44
276,381.4,CRO/Hotel,Rate 1,20.51,-5.69,7.82,0,43.33
160,470.47,GDS,Rate 8,-3.23,1.58,36.9,0,79.97
313,466.51,GDS,Rate 1,27.57,27.75,18.02,4.91,73.95
21,252.88,CRO/Hotel,Rate 1,22.85,-4.65,33.56,0,42.63
252,100.96,WEB,Rate 8,37.83,-11.44,13.53,0,33.37
235,493.18,CRO/Hotel,Rate 8,-6.55,-11.55,4.06,0,31.65
344,427.5,GDS,Rate 1,-7.15,32.04,49.63,0,77.4
48,106.1,GDS,Rate 8,4.11,10.35,7.81,0,5.21
58,464.38,CRO/Hotel,Rate 1,3.09,5.47,49.42,0,1.28
169,441.45,WEB,Rate 8,2.35,25.54,48.86,0,79.55
187,283.48,CRO/Hotel,Rate 1,35.31,26.79,39.69,0,47.71
270,316.07,WEB,Rate 1,2.48,1.61,32.97,0,13.09
189,229.55,WEB,Rate 1,3.6,19.68,28.89,0,23.56
174,74.64,CRO/Hotel,Rate 2,27.97,23.56,43.31,0,93.25
50,200.84,CRO/Hotel,Rate 8,12.49,17.73,14.47,0,85.95
363,411.28,WEB,Rate 1,28.84,-7.42,23.38,0,70.98
54,52.08,WEB,Rate 2,-6.73,28.79,30.97,0,48.22
243,200.07,WEB,Rate 1,14.38,11.95,20.56,0,52.03
319,229.18,WEB,Rate 2,-8.32,-0.88,21.37,0,97.52
130,291.83,GDS,Rate 1,-6.87,6.26,16.51,0,96.58
306,463.94,CRO/Hotel,Rate 1,35.32,-13.12,28.21,0,21.53
134,205.86,WEB,Rate 2,-3.04,-8.61,42.53,0,81.11
20,206.13,CRO/Hotel,Rate 2,16.62,23.28,10.08,0,19.72
328,381.88,WEB,Rate 8,10.55,-15,3.42,0,21.35
166,253.5,CRO/Hotel,Rate 8,7.37,5.83,20.88,0,67.61
273,151.07,CRO/Hotel,Rate 2,34.99,11.13,5.82,0,40.5
88,253.6,WEB,Rate 8,-8.91,-12.27,30.64,0,93.15
315,113.39,WEB,Rate 2,23.19,33.65,46.92,0,8.9
13,129.37,CRO/Hotel,Rate 2,-5.77,-3.69,4.24,0,51.15
241,274.27,CRO/Hotel,Rate 2,14.07,0.21,49.33,3.19,91.85
264,238.52,CRO/Hotel,Rate 2,-7.76,0.2,18.71,0,90.41
345,461.68,GDS,Rate 2,19.61,-3.48,18.53,0,15.65
52,213.08,WEB,Rate 2,13.17,-14.93,40.64,0,36.66
339,311.26,GDS,Rate 2,-4.04,21.47,47.36,0,61.91
91,334.52,GDS,Rate 2,-9.83,33.34,49.3,0,15.94
263,55.89,WEB,Rate 2,14.46,-3.79,37.67,0,96.8
34,348.59,WEB,Rate 2,11.21,18.15,18.81,15.39,91.47
205,130.12,GDS,Rate 2,11.87,22.09,4.18,0,16.7
80,482.48,WEB,Rate 2,13.14,27.42,30.57,0,12.12
49,116.9,CRO/Hotel,Rate 1,-7.78,6.13,33.92,0,8.54
359,236.58,CRO/Hotel,Rate 2,0.75,0.15,15.88,0,90.94
1,88.41,GDS,Rate 8,-6.52,1.26,42.41,0,19.36
53,498.59,GDS,Rate 1,15.89,20.63,47.36,0,41.63
105,275.99,WEB,Rate 1,8.7,25.84,44.24,0,44.89
259,317.92,WEB,Rate 1,-0.07,-5.92,36.95,0,59.9
309,80.18,GDS,Rate 2,-8.09,3.55,13.87,0,7.17
190,387.48,GDS,Rate 1,-0.67,30.1,14.08,0,22.68
217,144.46,CRO/Hotel,Rate 2,-0.24,25.33,48.17,0,93.15
43,454.12,CRO/Hotel,Rate 2,11.89,34.24,0.51,0,90.84
161,142.31,WEB,Rate 1,9.13,22.71,35.8,0,78.13
201,135.81,CRO/Hotel,Rate 2,16.62,4.66,35.31,0,1.94
269,66.45,WEB,Rate 2,4.17,14.53,31.13,0,32.7
350,262.43,WEB,Rate 2,-6.41,18.05,49.51,0,62.8
303,304.18,WEB,Rate 2,11.4,-11.08,15.59,0,27.52
270,79.57,CRO/Hotel,Rate 2,12.82,12.22,17,1,90.96
214,398.99,GDS,Rate 2,6.84,20.47,3.95,0,63.39
251,253.98,GDS,Rate 2,13.13,-6.63,22.14,10.75,7.19
189,285.98,CRO/Hotel,Rate 2,4.81,24.03,13.05,11.52,90.9
295,248.34,GDS,Rate 2,5.68,14.19,17.17,0,95.78
212,230.34,WEB,Rate 2,2.83,32.61,41.73,0,7.77
207,301.84,GDS,Rate 2,-9.24,-12.88,46.77,0,53.24
236,119.86,CRO/Hotel,Rate 1,-6.76,-1.73,9.29,0,30.34
337,131.87,GDS,Rate 2,-9.06,15.08,18.63,0,39.28
52,437.8,WEB,Rate 2,9.09,-0.17,46.43,0.28,17.97
279,475.75,WEB,Rate 2,-0.57,20.72,3.09,0,57.81
216,217.99,CRO/Hotel,Rate 2,5.26,22.95,4.62,0,95.8
251,171.84,CRO/Hotel,Rate 2,17.23,-9.87,8.14,0,50.31
187,339.8,CRO/Hotel,Rate 2,-2.52,10.69,29.76,0,8.29
40,233.93,WEB,Rate 2,2.31,10.44,7.52,0,62
156,61.42,GDS,Rate 2,12.67,3.46,48.4,0,34.02
14,120.27,GDS,Rate 2,-3.14,31.65,22.34,0,85.59
300,372.19,CRO/Hotel,Rate 2,-7.69,26.38,25.08,0,43.47
64,346.52,GDS,Rate 1,-1.31,19.86,12.33,1.44,19.28
344,62.19,GDS,Rate 2,-5.16,20.72,23.55,0,19.11
326,149.89,CRO/Hotel,Rate 2,17.89,8.09,33.1,10.06,76.88
8,153.98,CRO/Hotel,Rate 1,14.24,31.05,37.56,0,26.56
343,352.35,WEB,Rate 2,9,19.73,37.69,0,76.72
128,58.87,WEB,Rate 2,16.14,21.45,28.89,0,20.59
135,96.85,WEB,Rate 2,14.11,28.08,45.22,0,32.17
62,409.96,WEB,Rate 2,-4.4,-1.3,40.87,0,46.55
138,130.35,GDS,Rate 2,16.78,25.35,37.85,0,94.32
80,343.74,GDS,Rate 2,6.18,-5.24,2.78,0,93.17
162,157.18,WEB,Rate 2,14.22,2.27,0.34,0,20.69
288,94.75,WEB,Rate 2,16.88,1.78,10.62,19.25,35.82
260,159.43,CRO/Hotel,Rate 2,-0.46,33.93,33.18,0,14.94
230,375.02,GDS,Rate 2,-6.7,27.83,20.56,0,51
40,435.06,GDS,Rate 2,-3.16,20.06,20.12,12.54,46.06
27,423.6,WEB,Rate 2,2.81,21.35,44.23,0,90.08
134,228.73,GDS,Rate 2,14.54,13.1,44.78,16.07,93
200,350.64,CRO/Hotel,Rate 2,15.82,32.35,45.46,0,38.36
327,142.24,CRO/Hotel,Rate 2,-9.79,9.81,15.69,0,49.17
267,181.92,GDS,Rate 2,5.32,4.03,34.55,0,89.62
